"Cell_type"	"Gene"	"source"
"132"	"B Cell"	"DDOST"	"Abbas_2005"
"133"	"Monocyte"	"DFNA5"	"Abbas_2005"
"134"	"T Cell"	"DGKA"	"Abbas_2005"
"135"	"T Cell"	"DGKA"	"Abbas_2005"
"136"	"T Cell"	"DHX33"	"Abbas_2005"
"137"	"B Cell"	"DKFZp667L0210"	"Abbas_2005"
"138"	"T Cell"	"DKFZp761K1824"	"Abbas_2005"
"139"	"T Cell"	"DNAJB1"	"Abbas_2005"
"140"	"B Cell"	"DTNB"	"Abbas_2005"
"141"	"Monocyte"	"DTR"	"Abbas_2005"
"142"	"Monocyte"	"DTR"	"Abbas_2005"
"143"	"T Cell"	"DUFD1"	"Abbas_2005"
"144"	"T Cell"	"DUSP2"	"Abbas_2005"
"145"	"Monocyte"	"DUSP6"	"Abbas_2005"
"146"	"B Cell"	"EAF2"	"Abbas_2005"
"147"	"T Cell"	"EGLN3"	"Abbas_2005"
"148"	"Dendritic Cell"	"EHD4"	"Abbas_2005"
"149"	"B Cell"	"EIF2AK3"	"Abbas_2005"
"150"	"B Cell"	"ELL2"	"Abbas_2005"
"151"	"Monocyte"	"EREG"	"Abbas_2005"
"152"	"B Cell"	"ERN1"	"Abbas_2005"
"153"	"B Cell"	"ERP70"	"Abbas_2005"
"154"	"Dendritic Cell"	"EST"	"Abbas_2005"
"155"	"Dendritic Cell"	"EST"	"Abbas_2005"
"156"	"Monocyte"	"EST"	"Abbas_2005"
"157"	"Neutrophil"	"EST"	"Abbas_2005"
"158"	"Dendritic Cell"	"EST"	"Abbas_2005"
"159"	"B Cell"	"EST"	"Abbas_2005"
"160"	"T Cell"	"EST"	"Abbas_2005"
"161"	"Dendritic Cell"	"EST"	"Abbas_2005"
"162"	"Monocyte"	"EST"	"Abbas_2005"
"163"	"B Cell"	"EST"	"Abbas_2005"
"164"	"B Cell"	"EST"	"Abbas_2005"
"165"	"Monocyte"	"EST"	"Abbas_2005"
"166"	"Monocyte"	"EST"	"Abbas_2005"
"167"	"T Cell"	"EST"	"Abbas_2005"
"168"	"B Cell"	"EST"	"Abbas_2005"
"169"	"B Cell"	"FBXO18"	"Abbas_2005"
"170"	"Neutrophil"	"FCGR2B"	"Abbas_2005"
"171"	"Neutrophil"	"FCGR3B"	"Abbas_2005"
"172"	"Neutrophil"	"FCGR3B"	"Abbas_2005"
"173"	"B Cell"	"FCRH1"	"Abbas_2005"
"174"	"B Cell"	"FCRH1"	"Abbas_2005"
"175"	"B Cell"	"FCRH2"	"Abbas_2005"
"176"	"B Cell"	"FKBP11"	"Abbas_2005"
"177"	"Neutrophil"	"FLJ10298"	"Abbas_2005"
"178"	"T Cell"	"FLJ11029"	"Abbas_2005"
"179"	"Dendritic Cell"	"FLJ13089"	"Abbas_2005"
"180"	"Dendritic Cell"	"FLJ13089"	"Abbas_2005"
"181"	"B Cell"	"FLJ20202"	"Abbas_2005"
"182"	"B Cell"	"FLJ20202"	"Abbas_2005"
"183"	"T Cell"	"FLJ20249"	"Abbas_2005"
"184"	"Monocyte"	"FLJ20273"	"Abbas_2005"
"185"	"Monocyte"	"FLJ20701"	"Abbas_2005"
"186"	"B Cell"	"FLJ22625"	"Abbas_2005"
"187"	"Dendritic Cell"	"FLJ23230"	"Abbas_2005"
"188"	"B Cell"	"FLJ23235"	"Abbas_2005"
"189"	"B Cell"	"FLJ31364"	"Abbas_2005"
"190"	"Dendritic Cell"	"FLJ35936"	"Abbas_2005"
"191"	"Dendritic Cell"	"FLJ40614"	"Abbas_2005"
"192"	"B Cell"	"FLJ43842"	"Abbas_2005"
"193"	"Dendritic Cell"	"FLN29"	"Abbas_2005"
"194"	"Dendritic Cell"	"FLN29"	"Abbas_2005"
"195"	"Dendritic Cell"	"FLN29"	"Abbas_2005"
"196"	"Dendritic Cell"	"FNBP2"	"Abbas_2005"
"197"	"Neutrophil"	"FPRL1"	"Abbas_2005"
"198"	"Neutrophil"	"FRAT2"	"Abbas_2005"
"199"	"B Cell"	"FREB"	"Abbas_2005"
"200"	"B Cell"	"FREB"	"Abbas_2005"
"201"	"B Cell"	"FREB"	"Abbas_2005"
"202"	"Dendritic Cell"	"FSCN1"	"Abbas_2005"
"203"	"Dendritic Cell"	"FSCN1"	"Abbas_2005"
"204"	"T Cell"	"FTHFSDC1"	"Abbas_2005"
"205"	"Dendritic Cell"	"G1P3"	"Abbas_2005"
"206"	"Monocyte"	"GJB2"	"Abbas_2005"
"207"	"Monocyte"	"GNA15"	"Abbas_2005"
"208"	"B Cell"	"GNG7"	"Abbas_2005"
"209"	"T Cell"	"GPR15"	"Abbas_2005"
"210"	"Neutrophil"	"GPR27"	"Abbas_2005"
"211"	"Neutrophil"	"GPR43"	"Abbas_2005"
"212"	"Monocyte"	"GPR84"	"Abbas_2005"
"213"	"B Cell"	"GPRC5D"	"Abbas_2005"
"214"	"Dendritic Cell"	"GRSF1"	"Abbas_2005"
"215"	"Dendritic Cell"	"GRSF1"	"Abbas_2005"
"216"	"T Cell"	"GZMK"	"Abbas_2005"
"217"	"T Cell"	"H2AFX"	"Abbas_2005"
"218"	"Dendritic Cell"	"H6PD"	"Abbas_2005"
"219"	"T Cell"	"HDGFRP3"	"Abbas_2005"
"220"	"T Cell"	"HGFL"	"Abbas_2005"
"221"	"Dendritic Cell"	"HLA-DQ-alpha"	"Abbas_2005"
"222"	"Dendritic Cell"	"HLA-DRB3"	"Abbas_2005"
"223"	"Dendritic Cell"	"HLA-DRB4"	"Abbas_2005"
"224"	"Dendritic Cell"	"HMG20B"	"Abbas_2005"
"225"	"T Cell"	"HMMR"	"Abbas_2005"
"226"	"Dendritic Cell"	"HMOX1"	"Abbas_2005"
"227"	"Dendritic Cell"	"HOZFP"	"Abbas_2005"
"228"	"Monocyte"	"HS3ST3B1"	"Abbas_2005"
"229"	"Neutrophil"	"HSPA6"	"Abbas_2005"
"230"	"T Cell"	"HSPC150"	"Abbas_2005"
"231"	"B Cell"	"HTPAP"	"Abbas_2005"
"232"	"T Cell"	"ICOS"	"Abbas_2005"
"233"	"Monocyte"	"IER3"	"Abbas_2005"
"234"	"Dendritic Cell"	"IFIT1"	"Abbas_2005"
"235"	"T Cell"	"IL17F"	"Abbas_2005"
"236"	"Monocyte"	"IL19"	"Abbas_2005"
"237"	"Monocyte"	"IL1A"	"Abbas_2005"
"238"	"Monocyte"	"IL1B"	"Abbas_2005"
"239"	"Monocyte"	"IL1B"	"Abbas_2005"
"240"	"Monocyte"	"IL1F9"	"Abbas_2005"
"241"	"Monocyte"	"IL1RN"	"Abbas_2005"
"242"	"Monocyte"	"IL1RN"	"Abbas_2005"
"243"	"Monocyte"	"IL1RN"	"Abbas_2005"
"244"	"T Cell"	"IL22"	"Abbas_2005"
"245"	"Monocyte"	"IL24"	"Abbas_2005"
"246"	"Monocyte"	"IL3RA"	"Abbas_2005"
"247"	"Monocyte"	"IL6"	"Abbas_2005"
"248"	"Neutrophil"	"IL8RA"	"Abbas_2005"
"249"	"Neutrophil"	"IL8RB"	"Abbas_2005"
"250"	"T Cell"	"IL9"	"Abbas_2005"
"251"	"T Cell"	"INPP4B"	"Abbas_2005"
"252"	"Monocyte"	"INPP5B"	"Abbas_2005"
"253"	"Monocyte"	"IPLA2(GAMMA)"	"Abbas_2005"
"254"	"Monocyte"	"IRAK2"	"Abbas_2005"
"255"	"B Cell"	"IRTA2"	"Abbas_2005"
"256"	"B Cell"	"IRTA2"	"Abbas_2005"
"257"	"B Cell"	"IRTA2"	"Abbas_2005"
"258"	"NK Cell"	"IVNS1ABP"	"Abbas_2005"
"259"	"NK Cell"	"IVNS1ABP"	"Abbas_2005"
"260"	"B Cell"	"KIAA0102"	"Abbas_2005"
"261"	"B Cell"	"KIAA0125"	"Abbas_2005"
"262"	"B Cell"	"KIAA0746"	"Abbas_2005"
"263"	"B Cell"	"KIAA0746"	"Abbas_2005"
"264"	"B Cell"	"KIAA0746"	"Abbas_2005"
"265"	"Neutrophil"	"KIAA0779"	"Abbas_2005"
"266"	"Neutrophil"	"KIAA1126"	"Abbas_2005"
"267"	"B Cell"	"KIAA1384"	"Abbas_2005"
"268"	"Dendritic Cell"	"KIAA1404"	"Abbas_2005"
"269"	"T Cell"	"KIF14"	"Abbas_2005"
"270"	"NK Cell"	"KIR2DL1"	"Abbas_2005"
"271"	"NK Cell"	"KIR2DL1"	"Abbas_2005"
"272"	"NK Cell"	"KIR2DL2"	"Abbas_2005"
"273"	"NK Cell"	"KIR2DL4"	"Abbas_2005"
"274"	"NK Cell"	"KIR2DL4"	"Abbas_2005"
"275"	"NK Cell"	"KIR2DS2"	"Abbas_2005"
"276"	"NK Cell"	"KIR2DS2"	"Abbas_2005"
"277"	"NK Cell"	"KIR2DS5"	"Abbas_2005"
"278"	"NK Cell"	"KIR2DS5"	"Abbas_2005"
"279"	"NK Cell"	"KIR3DL1"	"Abbas_2005"
"280"	"NK Cell"	"KIR3DL2"	"Abbas_2005"
"281"	"NK Cell"	"KIR3DL2"	"Abbas_2005"
"282"	"NK Cell"	"KIR3DS1"	"Abbas_2005"
"283"	"NK Cell"	"KLRF1"	"Abbas_2005"
"284"	"Neutrophil"	"KRT23"	"Abbas_2005"
"285"	"T Cell"	"LAG3"	"Abbas_2005"
"286"	"Dendritic Cell"	"Lectin"	"Abbas_2005"
"287"	"T Cell"	"LEF1"	"Abbas_2005"
"288"	"Neutrophil"	"LENG4"	"Abbas_2005"
"289"	"Neutrophil"	"LENG5"	"Abbas_2005"
"290"	"T Cell"	"LEPROTL1"	"Abbas_2005"
"291"	"B Cell"	"LOC220213"	"Abbas_2005"
"292"	"Dendritic Cell"	"LOC253782"	"Abbas_2005"
"293"	"Dendritic Cell"	"LOC284018"	"Abbas_2005"
"294"	"B Cell"	"LOC51061"	"Abbas_2005"
"295"	"B Cell"	"LOC51061"	"Abbas_2005"
"296"	"Dendritic Cell"	"LOC93082"	"Abbas_2005"
"297"	"Monocyte"	"LRRFIP1"	"Abbas_2005"
"298"	"T Cell"	"LRRN3"	"Abbas_2005"
"299"	"B Cell"	"LZTFL1"	"Abbas_2005"
"300"	"Neutrophil"	"MAD"	"Abbas_2005"
"301"	"B Cell"	"MAN1A1"	"Abbas_2005"
"302"	"B Cell"	"MANEA"	"Abbas_2005"
"303"	"Dendritic Cell"	"MDA5"	"Abbas_2005"
"304"	"Dendritic Cell"	"MDS010"	"Abbas_2005"
"305"	"Dendritic Cell"	"MDS010"	"Abbas_2005"
"306"	"T Cell"	"MELK"	"Abbas_2005"
"307"	"Neutrophil"	"MGC10500"	"Abbas_2005"
"308"	"Neutrophil"	"MGC14126"	"Abbas_2005"
"309"	"B Cell"	"MGC15606"	"Abbas_2005"
"310"	"T Cell"	"MGC15763"	"Abbas_2005"
"311"	"Neutrophil"	"MGC16353"	"Abbas_2005"
"312"	"Dendritic Cell"	"MGC20700"	"Abbas_2005"
"313"	"Monocyte"	"MGC26226"	"Abbas_2005"
"314"	"T Cell"	"MGC3036"	"Abbas_2005"
"315"	"T Cell"	"MGC5306"	"Abbas_2005"
"316"	"T Cell"	"MKI67"	"Abbas_2005"
"317"	"Monocyte"	"MMP1"	"Abbas_2005"
"318"	"Dendritic Cell"	"MMP12"	"Abbas_2005"
"319"	"Monocyte"	"MMP14"	"Abbas_2005"
"320"	"Monocyte"	"MMP14"	"Abbas_2005"
"321"	"Monocyte"	"MMP19"	"Abbas_2005"
"322"	"Monocyte"	"MMP9"	"Abbas_2005"
"323"	"Dendritic Cell"	"MOB4A"	"Abbas_2005"
"324"	"Monocyte"	"MPEG1"	"Abbas_2005"
"325"	"Monocyte"	"MPEG1"	"Abbas_2005"
"326"	"Neutrophil"	"MPPE1"	"Abbas_2005"
"327"	"Neutrophil"	"MPPE1"	"Abbas_2005"
"328"	"Neutrophil"	"MPPE1"	"Abbas_2005"
"329"	"Monocyte"	"MS4A6A"	"Abbas_2005"
"330"	"Neutrophil"	"MSCP"	"Abbas_2005"
"331"	"Monocyte"	"MTF1"	"Abbas_2005"
"332"	"B Cell"	"MTND6"	"Abbas_2005"
"333"	"Dendritic Cell"	"MX1"	"Abbas_2005"
"334"	"Dendritic Cell"	"NAGPA"	"Abbas_2005"
"335"	"B Cell"	"NALP7"	"Abbas_2005"
"336"	"Neutrophil"	"NCF4"	"Abbas_2005"
"337"	"Neutrophil"	"NCF4"	"Abbas_2005"
"338"	"T Cell"	"NDFIP2"	"Abbas_2005"
"339"	"T Cell"	"NDNL2"	"Abbas_2005"
"340"	"B Cell"	"NGLY1"	"Abbas_2005"
"341"	"Monocyte"	"NPC1"	"Abbas_2005"
"342"	"Dendritic Cell"	"NR4A3"	"Abbas_2005"
"343"	"Dendritic Cell"	"NR4A3"	"Abbas_2005"
"344"	"Neutrophil"	"NRBF-2"	"Abbas_2005"
"345"	"Monocyte"	"NRIP3"	"Abbas_2005"
"346"	"NK Cell"	"NS1-BP"	"Abbas_2005"
"347"	"Dendritic Cell"	"NT5C3"	"Abbas_2005"
"348"	"Dendritic Cell"	"NUP62"	"Abbas_2005"
"349"	"Dendritic Cell"	"NYREN18"	"Abbas_2005"
"350"	"Dendritic Cell"	"NYREN18"	"Abbas_2005"
"351"	"Dendritic Cell"	"OAS1"	"Abbas_2005"
"352"	"Dendritic Cell"	"OATPRP4"	"Abbas_2005"
"353"	"Monocyte"	"OK/KNS-CL.4"	"Abbas_2005"
"354"	"B Cell"	"OSBPL10"	"Abbas_2005"
"355"	"B Cell"	"PACAP"	"Abbas_2005"
"356"	"B Cell"	"PACAP"	"Abbas_2005"
"357"	"T Cell"	"PAICS"	"Abbas_2005"
"358"	"B Cell"	"PAX5"	"Abbas_2005"
"359"	"B Cell"	"PC4"	"Abbas_2005"
"360"	"Dendritic Cell"	"PDL2"	"Abbas_2005"
"361"	"Monocyte"	"PFKFB3"	"Abbas_2005"
"362"	"Neutrophil"	"PHC2"	"Abbas_2005"
"363"	"Monocyte"	"PLAUR"	"Abbas_2005"
"364"	"Monocyte"	"PLAUR"	"Abbas_2005"
"365"	"Monocyte"	"PLAUR"	"Abbas_2005"
"366"	"Monocyte"	"PLD1"	"Abbas_2005"
"367"	"Monocyte"	"PLD3"	"Abbas_2005"
"368"	"Dendritic Cell"	"PLDN"	"Abbas_2005"
"369"	"B Cell"	"PNOC"	"Abbas_2005"
"370"	"B Cell"	"POU2AF1"	"Abbas_2005"
"371"	"Monocyte"	"PPBP"	"Abbas_2005"
"372"	"Monocyte"	"PPIF"	"Abbas_2005"
"373"	"Monocyte"	"PPIF"	"Abbas_2005"
"374"	"Monocyte"	"PRAM-1"	"Abbas_2005"
"375"	"T Cell"	"PRC1"	"Abbas_2005"
"376"	"T Cell"	"PRO2000"	"Abbas_2005"
"377"	"Neutrophil"	"PROK2"	"Abbas_2005"
"378"	"NK Cell"	"PTGDR"	"Abbas_2005"
"379"	"T Cell"	"PTP"	"Abbas_2005"
"380"	"Monocyte"	"PTX3"	"Abbas_2005"
"381"	"Dendritic Cell"	"PVRL2"	"Abbas_2005"
"382"	"B Cell"	"QRSL1"	"Abbas_2005"
"383"	"Dendritic Cell"	"RAB30"	"Abbas_2005"
"384"	"Dendritic Cell"	"RAB9A"	"Abbas_2005"
"385"	"Neutrophil"	"RALB"	"Abbas_2005"
"386"	"B Cell"	"RALGPS2"	"Abbas_2005"
"387"	"Dendritic Cell"	"RASSF4"	"Abbas_2005"
"388"	"Dendritic Cell"	"RhoGAP2"	"Abbas_2005"
"389"	"Neutrophil"	"RNF141"	"Abbas_2005"
"390"	"Monocyte"	"RNU2"	"Abbas_2005"
"391"	"Monocyte"	"RPEL1"	"Abbas_2005"
"392"	"B Cell"	"RPN1"	"Abbas_2005"
"393"	"T Cell"	"RRM1"	"Abbas_2005"
"394"	"B Cell"	"SCFD1"	"Abbas_2005"
"395"	"T Cell"	"SDP35"	"Abbas_2005"
"396"	"Neutrophil"	"SEC14L1"	"Abbas_2005"
"397"	"B Cell"	"SEC24A"	"Abbas_2005"
"398"	"Neutrophil"	"SEPX1"	"Abbas_2005"
"399"	"Monocyte"	"SERPINB2"	"Abbas_2005"
"400"	"Monocyte"	"SERPINB7"	"Abbas_2005"
"401"	"Monocyte"	"SERPINB9"	"Abbas_2005"
"402"	"Monocyte"	"SGPP2"	"Abbas_2005"
"403"	"Dendritic Cell"	"SLC27A3"	"Abbas_2005"
"404"	"Monocyte"	"SLC28A3"	"Abbas_2005"
"405"	"Monocyte"	"SLC31A1"	"Abbas_2005"
"406"	"Monocyte"	"SLC3A2"	"Abbas_2005"
"407"	"B Cell"	"SMCY"	"Abbas_2005"
"408"	"Dendritic Cell"	"SN"	"Abbas_2005"
"409"	"Dendritic Cell"	"SN"	"Abbas_2005"
"410"	"Monocyte"	"SNX9"	"Abbas_2005"
"411"	"Monocyte"	"SNX9"	"Abbas_2005"
"412"	"B Cell"	"SPATS2"	"Abbas_2005"
"413"	"B Cell"	"SPATS2"	"Abbas_2005"
"414"	"B Cell"	"SPIB"	"Abbas_2005"
"415"	"Dendritic Cell"	"SPRED2"	"Abbas_2005"
"416"	"Monocyte"	"SRC"	"Abbas_2005"
"417"	"B Cell"	"SSR1"	"Abbas_2005"
"418"	"B Cell"	"STCH"	"Abbas_2005"
"419"	"T Cell"	"STK6"	"Abbas_2005"
"420"	"Neutrophil"	"STX3A"	"Abbas_2005"
"421"	"Dendritic Cell"	"TBC1D13"	"Abbas_2005"
"422"	"Dendritic Cell"	"TBC1D13"	"Abbas_2005"
"423"	"B Cell"	"TCF3"	"Abbas_2005"
"424"	"T Cell"	"TCF7"	"Abbas_2005"
"425"	"Monocyte"	"TCIRG1"	"Abbas_2005"
"426"	"B Cell"	"TCL1A"	"Abbas_2005"
"427"	"B Cell"	"TCL1A"	"Abbas_2005"
"428"	"T Cell"	"TCRA"	"Abbas_2005"
"429"	"T Cell"	"TCRA"	"Abbas_2005"
"430"	"T Cell"	"TCRA"	"Abbas_2005"
"431"	"T Cell"	"TCRA"	"Abbas_2005"
"432"	"T Cell"	"TCRA"	"Abbas_2005"
"433"	"Monocyte"	"TFPI2"	"Abbas_2005"
"434"	"NK Cell"	"TGFBR1"	"Abbas_2005"
"435"	"Monocyte"	"TIEG"	"Abbas_2005"
"436"	"B Cell"	"TLOC1"	"Abbas_2005"
"437"	"B Cell"	"TLR10"	"Abbas_2005"
"438"	"Neutrophil"	"TM4-B"	"Abbas_2005"
"439"	"Monocyte"	"TMEFF1"	"Abbas_2005"
"440"	"Monocyte"	"TncRNA"	"Abbas_2005"
"441"	"Monocyte"	"TNF-gamma; VEG1"	"Abbas_2005"
"442"	"T Cell"	"TOP2A"	"Abbas_2005"
"443"	"T Cell"	"TPX2"	"Abbas_2005"
"444"	"B Cell"	"TRA1"	"Abbas_2005"
"445"	"B Cell"	"TRA1"	"Abbas_2005"
"446"	"B Cell"	"TRA1"	"Abbas_2005"
"447"	"B Cell"	"TRAM1"	"Abbas_2005"
"448"	"B Cell"	"TRAM1"	"Abbas_2005"
"449"	"B Cell"	"TRAM2"	"Abbas_2005"
"450"	"T Cell"	"TRIM"	"Abbas_2005"
"451"	"T Cell"	"TSBF1"	"Abbas_2005"
"452"	"Dendritic Cell"	"TTYH2"	"Abbas_2005"
"453"	"Dendritic Cell"	"TTYH2"	"Abbas_2005"
"454"	"B Cell"	"TXNDC5"	"Abbas_2005"
"455"	"Dendritic Cell"	"UBD"	"Abbas_2005"
"456"	"T Cell"	"UBE2C"	"Abbas_2005"
"457"	"B Cell"	"UBE2G1"	"Abbas_2005"
"458"	"B Cell"	"UBE2G1"	"Abbas_2005"
"459"	"B Cell"	"UBE2G1"	"Abbas_2005"
"460"	"B Cell"	"UBE2J1"	"Abbas_2005"
"461"	"B Cell"	"UBE2J1"	"Abbas_2005"
"462"	"B Cell"	"UBE2J1"	"Abbas_2005"
"463"	"B Cell"	"UBE2J1"	"Abbas_2005"
"464"	"B Cell"	"UBE2J1"	"Abbas_2005"
"465"	"T Cell"	"UBE2S"	"Abbas_2005"
